date,iran_khodro,s_inc_ind,saderat_bank,lotus_gold_etf
2025-05-13,672,7370,729,475488
2025-05-12,680,7490,713,471582
2025-05-11,661,9720,693,488650
2025-05-10,680,9720,713,484632
2025-05-07,701,9720,735,474460
2025-05-06,702,9720,716,471705
2025-05-05,684,9720,726,487659
2025-05-04,666,9720,709,495165
2025-05-03,649,9720,727,485753
2025-04-30,668,9720,749,455569
2025-04-29,649,9720,734,448026
2025-04-28,634,9720,722,445392
2025-04-27,629,9720,701,450431
2025-04-26,645,9720,708,431108
2025-04-23,636,9720,692,423268
2025-04-22,627,9720,674,430272
2025-04-21,3868,9720,656,441051
2025-04-20,3868,9720,637,424661
2025-04-19,3868,9720,619,456973
2025-04-16,3868,9720,601,477248
2025-04-15,3868,9720,584,487683
2025-04-14,3868,10010,584,472944
2025-04-13,3868,10060,584,462520
2025-04-12,3868,9770,567,510966
2025-04-09,3868,9730,553,536999
2025-04-08,3868,9620,562,546215
2025-04-07,3868,9340,546,605577
2025-04-06,3868,9540,562,591566
2025-04-05,3868,9820,575,580818
2025-03-30,3868,10120,561,613729
2025-03-29,3868,9840,554,629932
2025-03-26,3868,9630,569,592703
2025-03-25,3868,9350,572,570328
2025-03-18,3868,9080,556,578999
2025-03-17,3868,9250,573,542712
2025-03-16,3868,9290,611,514744
2025-03-15,3914,9050,611,499103
2025-03-12,3864,8790,611,498831
2025-03-11,3982,8630,611,500891
2025-03-10,4080,8740,611,506961
2025-03-09,3974,8560,611,509271
2025-03-08,4023,8670,611,494344
2025-03-05,3959,8790,611,474691
2025-03-04,3875,8850,611,485165
2025-03-03,3780,8920,611,477727
2025-03-02,3887,9190,611,488594
2025-03-01,3780,9250,611,494124
2025-02-26,3681,9260,611,515802
2025-02-25,3574,9100,611,503337
2025-02-24,3470,8840,611,519153
2025-02-23,3396,8590,611,516387
2025-02-22,3298,8360,611,539908
2025-02-19,3366,8370,611,520615
2025-02-18,3358,8310,611,497912
2025-02-17,3362,8110,611,487527
2025-02-16,3278,7880,611,480918
2025-02-15,3377,7960,611,481880
2025-02-11,3481,8150,611,473025
2025-02-09,3515,8230,611,482265
2025-02-05,3415,8030,611,440413
2025-02-04,3415,8010,611,425854
2025-02-03,3415,7990,611,424935
2025-02-02,3387,7980,611,423872
2025-02-01,3367,7940,611,418277
2025-01-29,3447,8040,611,410449
2025-01-27,3488,8140,611,412719
2025-01-26,3513,8200,611,415001
2025-01-25,3424,8370,611,413651
2025-01-22,3479,8370,611,407034
2025-01-21,3427,8140,611,396629
2025-01-20,3453,8150,611,389374
2025-01-19,3469,8270,611,387337
2025-01-18,3532,8370,611,384487
2025-01-15,3619,8590,611,386076
2025-01-13,3645,8450,2220,388844
2025-01-12,3643,8460,2220,385385
2025-01-11,3752,8570,2220,387763
2025-01-08,3790,8570,2220,377589
2025-01-07,3790,8430,2220,372419
2025-01-06,3733,8220,2210,367258
2025-01-05,3748,8240,2261,368383
2025-01-04,3707,8180,2325,369086
2025-01-01,3619,7950,2298,373203
2024-12-31,3591,7780,2293,374007
2024-12-30,3684,7580,2234,370603
2024-12-29,3749,7750,2242,373245
2024-12-28,3823,7960,2306,379829
2024-12-25,3768,8190,2256,370755
2024-12-24,3674,8410,2298,372572
2024-12-23,3569,8230,2296,369794
2024-12-22,3480,8080,2293,358610
2024-12-21,3460,7970,2287,362484
2024-12-18,3360,7740,2221,371276
2024-12-17,3387,7670,2283,373606
2024-12-16,3483,7710,2347,370392
2024-12-15,3564,7500,2361,366912
2024-12-14,3557,7290,2319,367327
2024-12-11,3455,7080,2252,363260
2024-12-10,3401,6930,2204,354374
2024-12-09,3463,6930,2145,350856
2024-12-08,3364,6730,2083,349870
2024-12-07,3454,6820,2030,346449
2024-12-04,3553,6990,1976,348323
2024-12-03,3522,7020,1919,346395
2024-12-02,3436,7000,1866,344561
2024-12-01,3336,6800,1812,342934
2024-11-30,3319,6890,1857,347202
2024-11-27,3298,6970,1898,339509
2024-11-26,3218,6990,1930,337386
2024-11-25,3150,6920,1905,337637
2024-11-24,3060,6720,1850,344602
2024-11-23,2977,6540,1798,349593
2024-11-20,2920,6520,1749,341499
2024-11-19,2896,6650,1800,334675
2024-11-18,2719,6780,1760,327644
2024-11-17,2719,6690,1709,326048
2024-11-16,2641,6710,1698,325587
2024-11-13,2565,6530,1649,329398
2024-11-12,2495,6530,1634,322316
2024-11-11,2427,6570,1640,317746
2024-11-10,2357,6410,1596,330768
2024-11-09,2305,6230,1550,340898
2024-11-06,2248,6050,1506,349495
2024-11-05,2246,6090,1534,341441
2024-11-04,2182,6000,1540,345532
2024-11-03,2218,6050,1572,353573
2024-11-02,2252,6210,1587,345841
2024-10-30,2188,6160,1592,350611
2024-10-29,2161,6050,1569,348579
2024-10-28,2208,5970,1598,337759
2024-10-27,2146,5800,1553,327950
2024-10-26,2084,5640,1508,321953
2024-10-23,2047,5530,1467,351294
2024-10-22,2102,5700,1512,343244
2024-10-21,2159,5760,1536,341150
2024-10-20,2219,5850,1581,341026
2024-10-19,2252,6020,1599,335053
2024-10-16,2318,6190,1617,327055
2024-10-15,2379,6170,1648,321824
2024-10-14,2440,6300,1683,323428
2024-10-13,2507,6380,1721,317650
2024-10-12,2547,6350,1720,314508
2024-10-09,2526,6260,1724,314078
2024-10-08,2550,6210,1739,313672
2024-10-07,2574,6150,1755,318484
2024-10-06,2580,6170,1772,324126
2024-10-05,2580,6220,1772,313105
2024-10-02,2581,6270,1773,311512
2024-10-01,2584,6330,1780,307410
2024-09-30,2585,6390,1781,303409
2024-09-29,2608,6410,1797,301419
2024-09-28,2632,6450,1815,308492
2024-09-25,2633,6510,1820,296206
2024-09-24,2672,6460,1774,299034
2024-09-23,2610,6300,1725,294086
2024-09-22,2549,6240,1687,291907
2024-09-18,2582,6200,1638,287716
2024-09-17,2552,6160,1591,285542
2024-09-16,2483,6090,1545,283511
2024-09-15,2468,6080,1546,282784
2024-09-14,2527,6100,1569,284401
2024-09-11,2561,6190,1604,281263
2024-09-10,2535,6240,1590,279812
2024-09-09,2518,6280,1544,279336
2024-09-08,2448,6320,1530,278517
2024-09-07,2480,6430,1531,279737
2024-09-03,2455,6590,1536,281794
2024-09-01,2493,6680,1535,280770
2024-08-31,2498,6690,1533,279785
2024-08-28,2452,6560,1515,278842
2024-08-27,2419,6570,1489,278259
2024-08-26,2409,6590,1485,279895
2024-08-24,2402,6520,1472,276131
2024-08-21,2363,6420,1455,275408
2024-08-20,2344,6400,1451,276391
2024-08-19,2376,6460,1458,275746
2024-08-18,2347,6490,1480,270622
2024-08-17,2314,6370,1455,271199
2024-08-14,2289,6250,1438,271763
2024-08-13,2269,6190,1430,272729
2024-08-12,2288,6240,1441,274470
2024-08-11,2307,6270,1445,270641
2024-08-10,2321,6280,1452,275712
2024-08-06,2308,6300,1463,282559
2024-08-05,2331,6300,1471,280979
2024-08-04,2354,6290,1477,280395
2024-08-03,2373,6310,1473,285422
2024-07-31,2520,6520,1473,278987
2024-07-30,2661,6750,1544,272675
2024-07-29,2709,6820,1557,270631
2024-07-27,2745,7010,1580,265861
2024-07-24,2755,7180,1585,264814
2024-07-23,2768,7320,1586,263842
2024-07-22,2762,7690,1591,260718
2024-07-21,2821,7690,1586,261083
2024-07-20,2821,7690,1659,258349
2024-07-17,2821,7690,1678,261737
2024-07-14,2827,7690,1687,258315
2024-07-13,2811,7690,1695,255029
2024-07-10,2879,7690,1724,257501
2024-07-09,2952,7690,1769,257223
2024-07-08,3030,7710,1803,259690
2024-07-07,3067,7710,1798,261641
2024-07-06,2945,7700,1700,256914
2024-07-03,2779,7270,1668,270807
2024-07-02,2780,7210,1668,276440
2024-07-01,2710,7150,1660,275666
2024-06-30,2698,7120,1662,278572
2024-06-29,2808,7180,1704,270718
2024-06-26,2828,7150,1669,268026
2024-06-24,2774,7010,1641,271405
2024-06-23,2736,6930,1647,264801
2024-06-22,2744,6890,1675,259054
2024-06-19,2770,6860,1675,256379
2024-06-18,2750,6820,1675,256263
2024-06-16,2805,6910,1675,256976
2024-06-15,2862,7010,1676,257905
2024-06-12,2883,7120,1653,257768
2024-06-11,2904,7150,1621,256888
2024-06-10,2885,7160,1590,257305
2024-06-09,2829,7040,1578,260230
2024-06-08,2822,6980,1580,259829
2024-06-05,2876,7120,1612,262898
2024-06-02,2821,7140,1619,263120
2024-06-01,2817,7140,1643,260000
2024-05-29,2766,7010,1657,265174
2024-05-28,2713,6910,1629,267475
2024-05-27,2664,6780,1620,257842
2024-05-26,2716,6870,1653,254386
2024-05-25,2748,6970,1662,256045
2024-05-21,2781,7020,1672,261558
2024-05-20,2739,6900,1679,262131
2024-05-19,2739,6900,1679,262131
2024-05-18,2871,7140,1756,261497
2024-05-15,2831,6990,1712,264142
2024-05-14,2865,6930,1717,262273
2024-05-13,2838,6810,1729,262311
2024-05-12,2945,7010,1776,265752
2024-05-11,2974,7090,1793,268427
2024-05-08,3023,7090,1807,268705
2024-05-07,3077,7180,1818,269757
2024-05-06,3095,7190,1821,272801
2024-05-05,3126,7390,1835,267564
2024-05-01,3121,7520,1835,269930
2024-04-30,3108,7670,1832,276768
2024-04-29,3158,7700,1846,269673
2024-04-28,3104,7760,1843,261484
2024-04-27,3150,7880,1890,261716
2024-04-24,3148,7750,1922,266475
2024-04-23,3148,7730,1932,271517
2024-04-22,3147,7890,1941,278660
2024-04-21,3166,7840,1964,281714
