dateissue,Value
13980105,179194.3
13980106,179766.4
13980107,181542.4
13980110,185358
13980111,185281.1
13980117,186535.5
13980118,188073.8
13980119,188592.8
13980120,190425.1
13980121,193978.3
13980124,195202.7
13980125,196084.1
13980126,201805.8
13980127,201890.8
13980128,199911.3
13980131,204375.3
13980202,204322
13980203,202857.5
13980204,203776.9
13980207,205287.4
13980208,209243.9
13980209,214867.6
13980210,216642
13980211,220109
13980214,224589.6
13980215,224057.3
13980216,215820.6
13980217,208197.1
13980218,211344.1
13980221,209154.9
13980222,204069.3
13980223,207751.7
13980224,211746.4
13980225,211017.8
13980228,212747.7
13980229,212851.5
13980230,211871.7
13980231,215091.6
13980301,215168.6
13980304,214314.2
13980305,217573.9
13980307,223253.8
13980308,224476.8
13980311,222387.8
13980312,224544.4
13980313,226983.4
13980318,226888.2
13980319,229808.8
13980320,230267.7
13980321,230617.5
13980322,233352.8
13980325,234167.7
13980326,238220.2
13980327,238160.7
13980328,237148.2
13980329,234879.4
13980401,233886.1
13980402,237459.9
13980403,242568.1
13980404,245098.7
13980405,248577.8
13980409,248533
13980410,247122.5
13980411,248275.9
13980412,248944
13980415,245445.6
13980416,246447.5
13980417,249252.6
13980418,248716.1
13980419,249622.1
13980422,250605
13980423,253577.8
13980424,253303.3
13980425,246268.1
13980426,246790.4
13980429,246437.4
13980430,249661.6
13980431,253056.8
13980501,251278.3
13980502,252864.6
13980505,252275.4
13980506,252324.7
13980507,252488.3
13980508,252898.1
13980509,254445.7
13980512,254453.9
13980513,255530.2
13980514,256698.2
13980515,255512
13980516,255163.3
13980519,255306.4
13980520,255876.2
13980522,257097.2
13980523,261391.5
13980526,261405.8
13980527,260992
13980528,262941
13980530,266127.2
13980602,269986.1
13980603,269225.3
13980604,274871.8
13980605,278469.9
13980606,278674.9
13980609,284139.2
13980610,286114.8
13980611,283062.7
13980612,285573.6
13980613,290178.5
13980616,294601.6
13980617,296731.8
13980620,299930.7
13980623,304460.1
13980624,302395.7
13980625,305917.2
13980626,302082.1
13980627,294166.6
13980630,297712.6
13980631,302103.6
13980701,311471.4
13980702,312206.5
13980703,314409.2
13980706,320023.9
13980707,318250.6
13980708,324705.9
13980709,326098.1
13980710,326117.2
13980713,327305.8
13980714,320208.4
13980715,320909.7
13980716,314469.8
13980717,313049.1
13980720,322059.8
13980721,326190.8
13980722,319871.6
13980723,308978.9
13980724,309640.3
13980728,301391.1
13980729,302173.1
13980730,308314.9
13980801,305807.6
13980804,303449.8
13980806,305969.9
13980808,309661.3
13980811,308730.2
13980812,308960.9
13980813,304676.5
13980814,305333.2
13980818,305858.9
13980819,302795.1
13980820,303944.1
13980821,306655.3
13980822,307094.1
13980825,306885.8
13980826,302340.6
13980827,302726.3
13980828,304688.5
13980829,304997
13980902,305622.5
13980903,305774
13980904,308477.2
13980905,309643.3
13980906,311230.1
13980909,314587.9
13980910,318670.5
13980911,320194.8
13980912,320814.4
13980913,322527.9
13980916,327624.8
13980917,332567.2
13980918,335792
13980919,339434.4
13980920,339386.6
13980923,343291.8
13980924,344115.1
13980925,344487.6
13980926,346870.7
13980927,350322.6
13980930,353996.7
13981001,356721.1
13981002,359365.5
13981003,362259.3
13981004,361088.4
13981007,367632.1
13981008,369729.9
13981009,375547.7
13981010,377012.6
13981011,384099.6
13981014,367334.2
13981015,365815.5
13981017,358843.2
13981018,353807.7
13981021,359807.4
13981022,375650.2
13981023,392038.4
13981024,395912.6
13981025,399445.3
13981028,409962.5
13981029,410694.5
13981030,409807.8
13981101,406008.9
13981102,411211.5
13981105,417001.9
13981106,418312.5
13981107,420668
13981108,427139.4
13981112,426184.9
13981113,428217
13981114,438880.2
13981115,440199.1
13981116,445894.1
13981119,452842.3
13981120,454618.5
13981121,447151.9
13981123,459079.6
13981126,461988.4
13981127,472749.9
13981128,476812.7
13981129,472120.4
13981130,478755.7
13981203,481798
13981204,498904.5
13981205,503735.8
13981206,518512.8
13981207,523851
13981210,505801
13981211,515583.4
13981212,529329
13981213,544237.7
13981214,555167.7
13981217,549185.1
13981219,534378.4
13981220,519847.3
13981221,520211.8
13981224,502739.2
13981225,494405.7
13981226,506079.8
13981227,502429.7
13981228,512900.5
13990105,508661.5
13990106,521267.7
13990109,532525.3
13990110,545649.4
13990111,547658.5
13990116,567425.6
13990117,573904
13990118,569673.7
13990119,583383
13990120,597253.9
13990123,607855.9
13990124,623259.8
13990125,624528.5
13990126,626408.7
13990127,645762.5
13990130,668905.5
13990131,690037
13990201,708994.7
13990202,726136.7
13990203,741932
13990206,769372.7
13990207,797813.4
13990208,820505.4
13990209,845952.4
13990210,878101.2
13990213,917406.1
13990214,956199.9
13990215,979105.3
13990216,980571.1
13990217,977923.4
13990220,1020217.5
13990221,1043252.5
13990222,1047763.2
13990223,1021445.2
13990224,1017662.5
13990227,987475.2
13990228,968460.3
13990229,995180.6
13990230,1002124.5
13990231,986759.2
13990303,959840.4
13990306,926132.9
13990307,938557.2
13990310,973494.5
13990311,970412.9
13990312,988120.6
13990313,1028537.8
13990317,1068844
13990318,1116186.8
13990319,1118912.1
13990320,1118118
13990321,1153679.7
13990324,1189857.9
13990325,1185421.9
13990326,1200100.4
13990327,1229673.6
13990331,1270627.1
13990401,1300812.8
13990402,1341578.8
13990403,1391025.4
13990404,1419453.5
13990407,1466277.5
13990408,1491927.7
13990409,1481938.4
13990410,1546845.4
13990411,1612902
13990414,1621343.3
13990415,1655429.6
13990416,1718350.2
13990417,1747078.6
13990418,1753642.8
13990421,1741353.7
13990422,1812843.1
13990423,1822083.1
13990424,1844907.3
13990425,1841700.7
13990428,1809172.1
13990429,1865027.5
13990430,1924845.1
13990431,1916194.1
13990501,1901147.2
13990504,1952910
13990505,1946086.2
13990506,1933935.6
13990507,1941193.5
13990508,1904324.2
13990511,1961621.8
13990512,2011524.3
13990513,1993340.2
13990514,1995044.4
13990515,2034192.5
13990519,2078546.8
13990520,2065114.3
13990521,1999843.4
13990522,1975439.7
13990525,1903267.6
13990526,1813565.7
13990527,1815754.7
13990528,1825353
13990529,1757229.2
13990601,1727239.5
13990602,1662215.4
13990603,1608581.8
13990604,1650044.3
13990605,1718783.4
13990610,1728035.3
13990611,1684786.6
13990612,1631941.3
13990615,1642007.7
13990616,1647781.8
13990617,1607195.3
13990618,1570010
13990619,1556280.3
13990622,1583753.6
13990623,1578190.1
13990624,1607587.1
13990625,1664592.8
13990626,1704108.5
13990629,1699494
13990630,1652235.7
13990631,1595160.1
13990701,1581180.1
13990702,1611582.5
13990705,1615531.2
13990706,1570888.3
13990707,1515930
13990708,1492939.8
13990709,1503426.8
13990712,1546154.7
13990713,1522980.9
13990714,1490173.1
13990715,1514698.2
13990716,1540700
13990719,1541822.8
13990720,1597125.4
13990721,1579507.3
13990722,1579675.7
13990723,1561416.1
13990727,1514272.5
13990728,1462283.2
13990729,1419305.3
13990730,1412354.7
13990803,1374057.4
13990805,1336587
13990806,1302028.5
13990807,1288330.5
13990810,1305898.7
13990811,1279862.7
13990812,1264477.6
13990814,1290571.4
13990817,1262887.1
13990818,1240523.8
13990819,1215163.9
13990820,1211941.2
13990821,1221074.8
13990824,1247649.2
13990825,1257356.9
13990826,1273847
13990827,1296947.1
13990828,1345301.4
13990901,1366535.2
13990902,1358847.5
13990903,1375541.3
13990904,1357108.6
13990905,1367248.8
13990908,1390772.8
13990909,1427278.1
13990910,1465975.3
13990911,1473667.3
13990912,1470980.1
13990915,1490676.8
13990916,1523108.5
13990917,1512891.9
13990918,1507498.7
13990919,1506217.3
13990922,1527451.8
13990923,1515759.4
13990924,1484158.9
13990925,1428324.5
13990926,1413360.4
13990929,1444926
13990930,1439124
13991001,1436392.9
13991002,1444968.9
13991003,1447915.3
13991006,1423570.2
13991007,1419012.8
13991008,1437212.3
13991009,1411859
13991010,1397797.2
13991013,1354147.1
13991014,1355351.2
13991015,1374483.2
13991016,1350233.2
13991017,1310755.8
13991020,1285892.4
13991021,1306620.7
13991022,1301325.6
13991023,1260722.5
13991024,1229836.5
